ref,commission_percent,station_distance,rent,pub_date,pub_time,studio,n_rooms,area,floor,n_floors,n_days,mcc,circle,center_distance,parsing_date,y
/moskva/kvartiry/2-k_kvartira_43.8_m_25_et._1410378979,,7,35.5,2020-07-28,,0,2,44,2,5,8,0,0,7.240311699791832,2020-08-04,0.8068181818181818
/moskva/kvartiry/1-k_kvartira_40_m_212_et._1887447187,,13,36.0,2020-08-04,14:51:23.334548,0,1,40,2,12,,0,0,18.55994978703984,2020-08-04,0.9
/moskva/kvartiry/1-k_kvartira_46_m_35_et._1969494697,0,6,97.0,2020-08-01,,0,1,46,3,5,4,0,1,2.7175127442625007,2020-08-04,2.108695652173913
/moskva/kvartiry/1-k_kvartira_37_m_2525_et._1958838949,,6,35.0,2020-07-28,,0,1,37,25,25,8,0,0,15.037649645206713,2020-08-04,0.9459459459459459
/moskva/kvartiry/1-k_kvartira_44_m_316_et._1971083916,40,8,34.0,2020-07-29,,0,1,44,3,16,7,0,0,12.089482000516536,2020-08-04,0.7727272727272727
/moskva/kvartiry/2-k_kvartira_37_m_89_et._1941778766,30,16,33.0,2020-07-30,,0,2,37,8,9,6,0,0,13.104947130339838,2020-08-04,0.8918918918918919
/moskva/kvartiry/2-k_kvartira_40_m_79_et._1924742086,,6,40.0,2020-07-21,,0,2,40,7,9,15,0,0,15.656473583949358,2020-08-04,1.0
/moskva/kvartiry/4-k_kvartira_90.5_m_312_et._1952274561,,7,50.0,2020-07-28,,0,4,90,3,12,13,0,0,23.933374800007574,2020-08-04,0.5555555555555556
/moskva/kvartiry/2-k_kvartira_63_m_320_et._1972486953,,13,70.0,2020-07-28,,0,2,63,3,20,8,0,0,17.396838684991508,2020-08-04,1.1111111111111112
/moskva/kvartiry/2-k_kvartira_45_m_35_et._1859616250,,18,33.0,2020-07-28,,0,2,45,3,5,8,1,0,10.131813490251698,2020-08-04,0.7333333333333333
