,lat,lng,line,center_distance,mcc,circle
Полежаевская,55.777201,37.517895,Таганско-Краснопресненская,6.6912135107758965,0,0
Полянка,55.736795,37.618594,Серпуховско-Тимирязевская,2.1301480352176,0,0
Пражская,55.610962,37.602386,Серпуховско-Тимирязевская,16.167248744604045,0,0
Преображенская площадь,55.796322,37.713582,Сокольническая,7.518119314201787,0,0
Прокшино,55.5813,37.4425,Сокольническая,22.346189631939303,0,0
Пролетарская,55.731546,37.666917,Таганско-Краснопресненская,4.118448547997712,0,0
Проспект Вернадского,55.676549,37.504584,Сокольническая,11.337152423327128,0,0
Проспект Мира,55.779584,37.633646,Кольцевая,2.8209813573920344,0,1
Профсоюзная,55.677671,37.562595,Калужско-Рижская,9.372435489307755,0,0
Пушкинская,55.765607,37.604356,Таганско-Краснопресненская,1.361463160175065,0,0
Пятницкое шоссе,55.853634,37.353108,Арбатско-Покровская,19.834721014152784,0,0
Рабочий Посёлок,55.726957,37.415577,МЦД - 1,13.091433811568853,0,0
Раменки,55.6961,37.505,Солнцевская,9.716113089086093,0,0
Рассказовка,55.6324,37.3328,Солнцевская,22.579784132396753,0,0
Речной вокзал,55.854152,37.476728,Замоскворецкая,14.058448527939984,0,0
Рижская,55.792494,37.636114,МЦД - 2,4.234874416287521,0,0
Римская,55.747027,37.679996,Люблинско-Дмитровская,4.041818546236015,0,0
Ростокино,55.839444,37.667778,МЦК,9.817814863464967,1,0
Румянцево,55.633,37.4419,Сокольническая,17.58827786357961,0,0
Рязанский проспект,55.716139,37.792694,Таганско-Краснопресненская,11.857816451516749,0,0
Савеловская,55.794054,37.587163,Серпуховско-Тимирязевская,4.655436104927692,0,0
Савёловская,55.4736,37.3513,МЦД - 1,35.63018290481294,0,0
Саларьево,55.6227,37.424,Сокольническая,19.18925905707662,0,0
Свиблово,55.855558,37.653379,Калужско-Рижская,11.318361214150361,0,0
Севастопольская,55.651451,37.59809,Серпуховско-Тимирязевская,11.695518580447416,0,0
Селигерская,55.86483,37.55005,Люблинско-Дмитровская,12.84409043053795,0,0
Семеновская,55.783096,37.719289,Арбатско-Покровская,7.06392354263755,0,0
Серпуховская,55.726548,37.624792,Серпуховско-Тимирязевская,3.301229624520555,0,0
Сетунь,55.723713,37.397259,МЦД - 1,14.296187551682433,0,0
Силикатная,55.470278,37.555278,МЦД - 2,32.04325551367237,0,0
Сколково,55.666801,37.424618,МЦД - 1,15.670806976027745,0,0
Славянский бульвар,55.729542,37.470973,Арбатско-Покровская,9.665403161659539,0,0
Смоленская,55.749083,37.582173,Филевская,2.350441672322792,0,0
Сокол,55.805564,37.515245,Замоскворецкая,8.472844364103706,0,0
Соколиная Гора,55.77,37.745278,МЦК,8.167439322613241,1,0
Сокольники,55.789282,37.679895,Сокольническая,5.393321360196851,0,0
Солнцево,55.649,37.3911,Солнцевская,18.559949787039844,0,0
Спартак,55.8182,37.4352,Таганско-Краснопресненская,13.37940520440252,0,0
Спортивная,55.722388,37.562041,Сокольническая,5.1098852741901215,0,0
Сретенский бульвар,55.766106,37.635688,Люблинско-Дмитровская,1.6054159974540387,0,0
Стахановская,55.4339,37.4505,Некрасовская,37.36727743823901,0,0
Стрешнево,55.813611,37.486944,МЦД - 2,10.413558090581624,0,0
Строгино,55.803831,37.402405,Арбатско-Покровская,14.517695813647883,0,0
Студенческая,55.738761,37.54842,Филевская,4.745268302856832,0,0
Сухаревская,55.772315,37.63285,Калужско-Рижская,2.061580940262388,0,0
Сходненская,55.84926,37.44076,Таганско-Краснопресненская,15.19765150338257,0,0
Таганская,55.742396,37.653334,Кольцевая,2.702839385631011,0,1
Тверская,55.765343,37.603918,Замоскворецкая,1.355537818000184,0,0
Театральная,55.758808,37.61768,Замоскворецкая,0.32170451592479016,0,0
